month,cpi
 1961 Jan ,24.665
 1961 Feb ,24.689
 1961 Mar ,24.709
 1961 Apr ,24.309
 1961 May ,24.174
 1961 Jun ,24.345
 1961 Jul ,24.398
 1961 Aug ,24.64
 1961 Sep ,24.516
 1961 Oct ,24.586
 1961 Nov ,24.645
 1961 Dec ,24.61
 1962 Jan ,24.766
 1962 Feb ,24.904
 1962 Mar ,24.548
 1962 Apr ,24.425
 1962 May ,24.449
 1962 Jun ,24.565
 1962 Jul ,24.623
 1962 Aug ,24.546
 1962 Sep ,24.647
 1962 Oct ,24.592
 1962 Nov ,24.751
 1962 Dec ,24.821
 1963 Jan ,25.297
 1963 Feb ,25.482
 1963 Mar ,25.004
 1963 Apr ,24.754
 1963 May ,24.88
 1963 Jun ,24.957
 1963 Jul ,24.888
 1963 Aug ,24.95
 1963 Sep ,25.06
 1963 Oct ,25.654
 1963 Nov ,25.467
 1963 Dec ,25.514
 1964 Jan ,25.67
 1964 Feb ,25.766
 1964 Mar ,25.673
 1964 Apr ,25.336
 1964 May ,25.34
 1964 Jun ,25.263
 1964 Jul ,25.384
 1964 Aug ,25.803
 1964 Sep ,25.734
 1964 Oct ,25.572
 1964 Nov ,25.557
 1964 Dec ,25.809
 1965 Jan ,25.871
 1965 Feb ,25.79
 1965 Mar ,25.619
 1965 Apr ,25.248
 1965 May ,25.447
 1965 Jun ,25.54
 1965 Jul ,25.383
 1965 Aug ,25.539
 1965 Sep ,25.622
 1965 Oct ,25.693
 1965 Nov ,25.876
 1965 Dec ,26.067
 1966 Jan ,26.383
 1966 Feb ,26.14
 1966 Mar ,25.932
 1966 Apr ,26.032
 1966 May ,25.979
 1966 Jun ,26.054
 1966 Jul ,26.149
 1966 Aug ,26.331
 1966 Sep ,26.173
 1966 Oct ,26.016
 1966 Nov ,26.277
 1966 Dec ,26.438
 1967 Jan ,26.839
 1967 Feb ,26.854
 1967 Mar ,26.717
 1967 Apr ,26.303
 1967 May ,26.539
 1967 Jun ,26.845
 1967 Jul ,27.216
 1967 Aug ,27.103
 1967 Sep ,27.312
 1967 Oct ,27.212
 1967 Nov ,27.466
 1967 Dec ,27.708
 1968 Jan ,27.727
 1968 Feb ,27.418
 1968 Mar ,27.32
 1968 Apr ,27.257
 1968 May ,26.967
 1968 Jun ,26.967
 1968 Jul ,27.104
 1968 Aug ,27.316
 1968 Sep ,27.155
 1968 Oct ,27.108
 1968 Nov ,27.038
 1968 Dec ,26.952
 1969 Jan ,26.978
 1969 Feb ,26.928
 1969 Mar ,27.072
 1969 Apr ,26.974
 1969 May ,27.236
 1969 Jun ,27.098
 1969 Jul ,27.019
 1969 Aug ,27.146
 1969 Sep ,27.176
 1969 Oct ,26.982
 1969 Nov ,27.255
 1969 Dec ,27.634
 1970 Jan ,27.24
 1970 Feb ,27.361
 1970 Mar ,27.024
 1970 Apr ,27.067
 1970 May ,27.085
 1970 Jun ,27.05
 1970 Jul ,27.318
 1970 Aug ,27.296
 1970 Sep ,27.25
 1970 Oct ,27.279
 1970 Nov ,27.217
 1970 Dec ,27.4
 1971 Jan ,28.21
 1971 Feb ,27.712
 1971 Mar ,27.582
 1971 Apr ,27.253
 1971 May ,27.543
 1971 Jun ,27.62
 1971 Jul ,27.763
 1971 Aug ,27.628
 1971 Sep ,27.84
 1971 Oct ,27.675
 1971 Nov ,27.83
 1971 Dec ,28.083
 1972 Jan ,28.12
 1972 Feb ,28.11
 1972 Mar ,28.057
 1972 Apr ,27.733
 1972 May ,27.842
 1972 Jun ,27.94
 1972 Jul ,28.109
 1972 Aug ,28.357
 1972 Sep ,28.558
 1972 Oct ,28.514
 1972 Nov ,28.792
 1972 Dec ,29.732
 1973 Jan ,29.645
 1973 Feb ,30.669
 1973 Mar ,30.788
 1973 Apr ,30.988
 1973 May ,32.365
 1973 Jun ,33.45
 1973 Jul ,35.04
 1973 Aug ,35.438
 1973 Sep ,35.446
 1973 Oct ,36.653
 1973 Nov ,38.23
 1973 Dec ,37.825
 1974 Jan ,39.472
 1974 Feb ,40.63
 1974 Mar ,41.339
 1974 Apr ,40.878
 1974 May ,40.906
 1974 Jun ,41.063
 1974 Jul ,41.384
 1974 Aug ,41.665
 1974 Sep ,42.109
 1974 Oct ,42.5
 1974 Nov ,42.595
 1974 Dec ,42.917
 1975 Jan ,43.109
 1975 Feb ,43.194
 1975 Mar ,42.37
 1975 Apr ,42.081
 1975 May ,42.247
 1975 Jun ,42.368
 1975 Jul ,42.481
 1975 Aug ,42.658
 1975 Sep ,42.671
 1975 Oct ,42.252
 1975 Nov ,42.338
 1975 Dec ,42.515
 1976 Jan ,42.501
 1976 Feb ,42.493
 1976 Mar ,41.95
 1976 Apr ,41.544
 1976 May ,41.711
 1976 Jun ,41.496
 1976 Jul ,41.466
 1976 Aug ,41.411
 1976 Sep ,41.335
 1976 Oct ,41.294
 1976 Nov ,41.538
 1976 Dec ,41.867
 1977 Jan ,42.421
 1977 Feb ,42.705
 1977 Mar ,42.417
 1977 Apr ,42.062
 1977 May ,42.398
 1977 Jun ,42.551
 1977 Jul ,42.983
 1977 Aug ,43.628
 1977 Sep ,43.911
 1977 Oct ,43.29
 1977 Nov ,43.653
 1977 Dec ,44.541
 1978 Jan ,44.276
 1978 Feb ,44.578
 1978 Mar ,43.984
 1978 Apr ,44.246
 1978 May ,44.398
 1978 Jun ,44.501
 1978 Jul ,45.036
 1978 Aug ,45.247
 1978 Sep ,45.322
 1978 Oct ,45.158
 1978 Nov ,45.425
 1978 Dec ,45.39
 1979 Jan ,45.42
 1979 Feb ,45.279
 1979 Mar ,45.135
 1979 Apr ,45.339
 1979 May ,45.668
 1979 Jun ,45.789
 1979 Jul ,46.358
 1979 Aug ,47.181
 1979 Sep ,47.925
 1979 Oct ,47.936
 1979 Nov ,48.348
 1979 Dec ,48.71
 1980 Jan ,48.765
 1980 Feb ,49.531
 1980 Mar ,50.059
 1980 Apr ,50.275
 1980 May ,50.248
 1980 Jun ,50.382
 1980 Jul ,50.82
 1980 Aug ,51.207
 1980 Sep ,51.081
 1980 Oct ,51.252
 1980 Nov ,51.588
 1980 Dec ,51.633
 1981 Jan ,51.786
 1981 Feb ,52.405
 1981 Mar ,52.525
 1981 Apr ,53.586
 1981 May ,54.275
 1981 Jun ,54.64
 1981 Jul ,55.46
 1981 Aug ,56.193
 1981 Sep ,56.092
 1981 Oct ,56.112
 1981 Nov ,56.486
 1981 Dec ,56.975
 1982 Jan ,57.535
 1982 Feb ,57.094
 1982 Mar ,56.486
 1982 Apr ,56.506
 1982 May ,56.541
 1982 Jun ,56.69
 1982 Jul ,56.54
 1982 Aug ,56.774
 1982 Sep ,56.868
 1982 Oct ,56.714
 1982 Nov ,57.063
 1982 Dec ,57.445
 1983 Jan ,57.263
 1983 Feb ,57.379
 1983 Mar ,57.317
 1983 Apr ,57.241
 1983 May ,57.442
 1983 Jun ,57.074
 1983 Jul ,57.288
 1983 Aug ,57.329
 1983 Sep ,57.538
 1983 Oct ,57.416
 1983 Nov ,57.943
 1983 Dec ,58.102
 1984 Jan ,58.688
 1984 Feb ,59.464
 1984 Mar ,58.876
 1984 Apr ,58.881
 1984 May ,58.835
 1984 Jun ,58.998
 1984 Jul ,59.163
 1984 Aug ,59.304
 1984 Sep ,58.906
 1984 Oct ,58.878
 1984 Nov ,58.657
 1984 Dec ,58.631
 1985 Jan ,58.895
 1985 Feb ,59.187
 1985 Mar ,59.341
 1985 Apr ,59.227
 1985 May ,59.215
 1985 Jun ,59.365
 1985 Jul ,59.561
 1985 Aug ,59.63
 1985 Sep ,59.159
 1985 Oct ,59.147
 1985 Nov ,58.996
 1985 Dec ,59.035
 1986 Jan ,59.007
 1986 Feb ,58.851
 1986 Mar ,58.681
 1986 Apr ,58.385
 1986 May ,58.34
 1986 Jun ,58.254
 1986 Jul ,58.161
 1986 Aug ,58.137
 1986 Sep ,58.374
 1986 Oct ,58.358
 1986 Nov ,58.177
 1986 Dec ,58.221
 1987 Jan ,58.593
 1987 Feb ,58.227
 1987 Mar ,58.22
 1987 Apr ,58.427
 1987 May ,58.583
 1987 Jun ,58.618
 1987 Jul ,58.858
 1987 Aug ,58.932
 1987 Sep ,58.898
 1987 Oct ,58.881
 1987 Nov ,58.983
 1987 Dec ,59.11
 1988 Jan ,59.025
 1988 Feb ,59.479
 1988 Mar ,59.325
 1988 Apr ,59.343
 1988 May ,59.532
 1988 Jun ,59.466
 1988 Jul ,59.811
 1988 Aug ,59.789
 1988 Sep ,59.843
 1988 Oct ,59.712
